slug,cluster,locality,property_type,lat,lng,shed_area,office_area,total_builtup,open_area,height_m,crane_capacity_ton,crane_count,power_hp,flooring,floor_load_mt,docks,ramps,fire_system,factory_plan_approved,parking_slots,rate_per_sqft,quoted_monthly_rent,deposit_months,availability,broker_name,broker_phone,source_url,notes,last_verified
chakan-45000-sqft-shed-13m-crane,Chakan,"Chakan MIDC Phase II, near Courtyard Marriott",Shed,18.7612,73.8641,42000,3000,45000,18000,13.0,10,2,100,Trimix,5,4,1,Sprinkler + hydrant,true,40,33,,6,Ready,,+915550000009,https://www.99acres.com/industrial-shed-chakan-midc,PEB structure with EOT crane on both bays,2026-08-21
chakan-28000-sqft-peb-shed-11m,Chakan,"Chakan MIDC Phase I, Mahalunge Ingale",Shed,18.7541,73.8582,26000,2000,28000,9000,11.0,5,1,75,Trimix,4,2,1,Fire NOC,true,20,31,,6,Ready,,+915550000009,https://www.99acres.com/industrial-shed-chakan-phase-1,,2026-08-21
chakan-120000-sqft-warehouse-12m-docks,Chakan,"Chakan-Talegaon Road, Kharabwadi",Warehouse,18.7702,73.8433,118000,2000,120000,45000,12.0,,,150,VDF,6,12,2,Sprinkler + hydrant,true,60,28,,6,Ready,,+915550000002,https://www.magicbricks.com/warehouse-chakan-kharabwadi,Grade A warehouse with dock levellers and 45m front yard,2026-08-28
chakan-15000-sqft-shed-9m,Chakan,"Chakan MIDC Phase II, Nighoje",Shed,18.7688,73.8712,14000,1000,15000,4000,9.0,,,50,Plain RCC,,0,1,,false,10,26,,3,Ready,,+915550000006,https://www.realestateindia.com/chakan-shed-nighoje,,2026-07-14
chakan-65000-sqft-factory-15m-20t-crane,Chakan,"Chakan MIDC Phase II, Bhamboli",Factory building,18.7776,73.8804,60000,5000,65000,30000,15.0,20,3,300,Trimix,8,4,2,Sprinkler + hydrant,true,80,36,,9,Ready,,+915550000015,https://www.squareyards.com/chakan-factory-bhamboli,Heavy engineering unit with three 20T EOT cranes and 300 HP sanctioned load,2026-08-30
chakan-32000-sqft-shed-crane-provision,Chakan,"Chakan MIDC Phase I, Kuruli",Shed,18.7489,73.8524,30000,2000,32000,11000,12.5,0,,120,Trimix,5,2,1,Fire NOC,true,25,32,,6,Ready,,+915550000006,https://www.99acres.com/chakan-shed-kuruli,Gantry beams cast for a future crane; crane not installed,2026-08-05
chakan-8000-sqft-unit-7m,Chakan,"Chakan MIDC Phase I, near Bajaj gate",Shed,18.7466,73.8601,7500,500,8000,1500,7.0,,,25,Plain RCC,,0,0,,false,6,24,,3,Ready,,+915550000001,https://www.realestateindia.com/chakan-small-unit,Small unit suitable for ancillary or job-work,2026-06-19
chakan-250000-sqft-warehouse-btos,Chakan,"Chakan MIDC Phase II, Vasuli",Warehouse,18.7821,73.8548,245000,5000,250000,120000,14.0,,,,VDF,7,24,4,Sprinkler + hydrant,true,150,27,,9,Built-to-suit,,+915550000002,https://www.magicbricks.com/chakan-btos-warehouse,Built-to-suit; power to be sanctioned per tenant requirement,2026-08-28
chakan-52000-sqft-shed-10t-crane-epoxy,Chakan,"Chakan MIDC Phase II, Medankarwadi",Shed,18.7655,73.8756,48000,4000,52000,20000,12.0,10,2,200,Epoxy,6,3,1,Sprinkler + hydrant,true,45,34,,6,Ready,,+915550000015,https://www.99acres.com/chakan-shed-medankarwadi,Epoxy floor; earlier occupied by an auto component maker,2026-08-30
chakan-19000-sqft-shed-no-specs,Chakan,Chakan MIDC,Shed,18.7573,73.8619,,,19000,,,,,,,,,,,,,,,3,Ready,,+915550000001,https://www.realestateindia.com/chakan-19000,Broker has not shared height or power details,2026-07-02
